Dimensions,alpha,SP-random,SG-It,SG-T,SG-R2,NC-It,NC-T,NC-R2,NB-It,NB-T,NB-R2
10,1.0,False,1491,17.768754720687866,9.819178272412116e-05,2,0.3012583255767822,1.1878960776114554e-26,2,0.3041656017303467,1.1878960776114554e-26
10,1.0,True,1452,17.75511598587036,9.820921582358738e-05,2,0.2797229290008545,1.1698761567218337e-25,2,0.30381155014038086,5.696003076864786e-26
10,10.0,False,1376,16.514755487442017,9.86489792119936e-05,2,0.3144218921661377,9.276515160583124e-20,2,0.31018996238708496,9.276515160583124e-20
10,10.0,True,1360,17.077699422836304,9.811373865404476e-05,2,0.2867734432220459,1.4799405858954996e-18,2,0.30893564224243164,8.127614148711994e-20
10,100.0,False,1376,17.363507509231567,9.863425485236192e-05,2,0.2923295497894287,6.946386199523374e-20,2,0.3086204528808594,6.946386199523374e-20
10,100.0,True,1347,17.149381399154663,9.886945302188157e-05,2,0.27158379554748535,1.126503236996526e-18,2,0.30357837677001953,2.088672840572064e-20
20,1.0,False,1525,45.20105695724487,9.867037053323807e-05,2,1.289600133895874,1.03536322998395e-25,2,1.1653656959533691,1.03536322998395e-25
20,1.0,True,1469,43.917365312576294,9.89925963933054e-05,2,1.3301808834075928,4.7123721238317966e-20,2,1.1099677085876465,2.1064601614359233e-25
20,10.0,False,1378,41.86924171447754,9.802070986684333e-05,2,1.1088695526123047,2.6457173006431338e-19,2,1.1593122482299805,2.6457173006431338e-19
20,10.0,True,1273,37.69412088394165,9.415575224495137e-05,2,1.1630287170410156,7.395818814460804e-19,2,1.2476871013641357,1.4490929874819368e-19
20,100.0,False,1376,44.56407713890076,9.865808795518032e-05,2,1.243093729019165,5.307915591610013e-19,2,1.303274393081665,5.307915591610013e-19
20,100.0,True,1286,38.07596278190613,9.881596516219736e-05,2,1.1871318817138672,1.6054031675898183e-19,2,1.228713035583496,7.452198954157922e-20
